,TLT
1977-03-31,5.446290723390208
1977-04-30,5.471842904034114
1977-05-31,5.566505786273902
1977-06-30,5.762725115240057
1977-07-31,5.6539056559806085
1977-08-31,5.812403477869933
1977-09-30,5.76551675648178
1977-10-31,5.646747111298256
1977-11-30,5.683592136199477
1977-12-31,5.516068257984998
1978-01-31,5.404046105112418
1978-02-28,5.372792705137852
1978-03-31,5.332362440031688
1978-04-30,5.311788408283899
1978-05-31,5.243753251754463
1978-06-30,5.167631433716496
1978-07-31,5.260562672332829
1978-08-31,5.392778147497459
1978-09-30,5.285192223454887
1978-10-31,5.075766481600488
1978-11-30,5.177239513178482
1978-12-31,5.0661014382955845
1979-01-31,5.20423713751311
1979-02-28,5.027162968909227
1979-03-31,5.119495195438194
1979-04-30,4.973674907288128
1979-05-31,5.13722591715612
1979-06-30,5.407272759534626
1979-07-31,5.291331819448938
1979-08-31,5.235728740912896
1979-09-30,5.1246003983870185
1979-10-31,4.297020139050836
1979-11-30,4.410855364234524
1979-12-31,4.432064227110885
1980-01-31,3.6875882385619336
1980-02-29,2.9516992756549123
1980-03-31,2.9499528535834822
1980-04-30,3.7342224026490975
1980-05-31,4.117633687841095
1980-06-30,4.434863049875185
1980-07-31,3.8251802520935927
1980-08-31,3.5359966250353185
1980-09-30,3.295519387894375
1980-10-31,3.013258152321221
1980-11-30,2.9951534929226913
1980-12-31,3.2092071292168995
1981-01-31,3.067948528745869
1981-02-28,2.7183046614197974
1981-03-31,2.9042593527997576
1981-04-30,2.4121084033065654
1981-05-31,2.6957120488253348
1981-06-30,2.6085956211141297
1981-07-31,2.3276063961264524
1981-08-31,2.0111295131331266
1981-09-30,1.8874785669006584
1981-10-31,2.1933601976549677
1981-11-30,2.7920744196081855
1981-12-31,2.4502081742139934
1982-01-31,2.363409549642463
1982-02-28,2.4248385028535866
1982-03-31,2.518255406176021
1982-04-30,2.678416450008816
1982-05-31,2.708303113563498
1982-06-30,2.485026091042801
1982-07-31,2.733010986378113
1982-08-31,3.2161617785866574
1982-09-30,3.6606889390836437
1982-10-31,4.210615934957484
1982-11-30,4.484200705331347
1982-12-31,4.742116982566321
1983-01-31,4.305328490830441
1983-02-28,4.716738505866713
1983-03-31,4.605226946357182
1983-04-30,4.90322350667771
1983-05-31,4.4249140536013
1983-06-30,4.433505761722042
1983-07-31,3.8437386577689665
1983-08-31,3.7708357478932815
1983-09-30,4.161368636850097
1983-10-31,3.946364590612841
1983-11-30,4.063242755238158
1983-12-31,3.956481051844276
1984-01-31,4.059712236621979
1984-02-29,3.8364957254783794
1984-03-31,3.6128919662784154
1984-04-30,3.4294774841236815
1984-05-31,2.861270222962456
1984-06-30,2.997275934227271
1984-07-31,3.4467674151635537
1984-08-31,3.7070845241937804
1984-09-30,3.899204179660123
1984-10-31,4.388294357262157
1984-11-30,4.478254391586033
1984-12-31,4.553712978084258
1985-01-31,4.867995068788372
1985-02-28,4.308865268512454
1985-03-31,4.5532497436582515
1985-04-30,4.728549858789094
1985-05-31,5.539811396228676
1985-06-30,5.6983423323507525
1985-07-31,5.512148996641192
1985-08-31,5.779580092128233
1985-09-30,5.736425894107009
1985-10-31,6.0863956771966565
1985-11-30,6.598667313360708
1985-12-31,7.353664831797729
1986-01-31,7.317815715742715
1986-02-28,8.784184021582293
1986-03-31,10.157078782622092
1986-04-30,10.16520444564819
1986-05-31,9.734453907263848
1986-06-30,10.673341986619446
1986-07-31,10.315073473935254
1986-08-31,10.843377153691971
1986-09-30,10.147322701901228
1986-10-31,10.193323898149846
1986-11-30,10.624926220870675
1986-12-31,10.537536202704013
1987-01-31,10.622275556334092
1987-02-28,10.68848774063524
1987-03-31,10.120216475758134
1987-04-30,9.020233279980525
1987-05-31,8.75902235791442
1987-06-30,9.04288767416383
1987-07-31,8.4884833023403
1987-08-31,8.123549257700521
1987-09-30,7.279038616118739
1987-10-31,8.334195922180283
1987-11-30,8.291899877875219
1987-12-31,8.578661415318404
1988-01-31,9.461048230729029
1988-02-29,9.578522912927246
1988-03-31,8.904115078832893
1988-04-30,8.50476551754724
1988-05-31,8.278467881734503
1988-06-30,8.983379421864198
1988-07-31,8.467658581554009
1988-08-31,8.410854705236085
1988-09-30,8.975713689148565
1988-10-31,9.430632777960245
1988-11-30,8.939139633015552
1988-12-31,9.119337789451087
1989-01-31,9.450369751208163
1989-02-28,9.00966750847682
1989-03-31,9.126943347212162
1989-04-30,9.524802019289385
1989-05-31,10.127007626958957
1989-06-30,11.202158270021098
1989-07-31,11.539436585267648
1989-08-31,11.013238276979441
1989-09-30,11.029115695495422
1989-10-31,11.740126020665027
1989-11-30,11.85987530607581
1989-12-31,11.767170614099983
1990-01-31,10.828738757625509
1990-02-28,10.749147527756962
1990-03-31,10.651509437713168
1990-04-30,10.018721014534359
1990-05-31,10.851276730842162
1990-06-30,11.260912427431451
1990-07-31,11.319563012990994
1990-08-31,10.237601448332605
1990-09-30,10.36958119367069
1990-10-31,10.782981830591698
1990-11-30,11.59943327153133
1990-12-31,11.972935022874639
1991-01-31,12.163105140821296
1991-02-28,12.290108230333376
1991-03-31,12.263377244932396
1991-04-30,12.43588208484445
1991-05-31,12.3865530859079
1991-06-30,12.115081130775085
1991-07-31,12.33093149292173
1991-08-31,13.082707282940186
1991-09-30,13.735752421480283
1991-10-31,13.60274455219895
1991-11-30,13.618954489456986
1991-12-31,15.008314829956422
1992-01-31,14.128452373050228
1992-02-29,14.143640459351257
1992-03-31,13.828237277107725
1992-04-30,13.671056313391265
1992-05-31,14.304254071639841
1992-06-30,14.526446818219314
1992-07-31,15.483618609816482
1992-08-31,15.691357159498185
1992-09-30,15.901359822816136
1992-10-31,15.283591993699728
1992-11-30,15.490812028480974
1992-12-31,16.118577185935163
1993-01-31,16.769230418340747
1993-02-28,17.80570860178102
1993-03-31,17.811940599791647
1993-04-30,17.85068157059619
1993-05-31,17.857673087544676
1993-06-30,18.925859566064638
1993-07-31,19.405945537057146
1993-08-31,21.18886678327427
1993-09-30,21.48710008324886
1993-10-31,21.90466606153333
1993-11-30,20.712322072250533
1993-12-31,20.597196082065608
1994-01-31,21.151089013372488
1994-02-28,19.585732167307814
1994-03-31,18.14340620762032
1994-04-30,17.59774326592614
1994-05-31,17.293155659565066
1994-06-30,16.80894730109725
1994-07-31,17.64197071442746
1994-08-31,17.528327019742022
1994-09-30,16.5014591951688
1994-10-31,16.16345430598776
1994-11-30,16.212618146168474
1994-12-31,16.612394288622745
1995-01-31,17.259862356021817
1995-02-28,18.147450777680238
1995-03-31,18.325598252814466
1995-04-30,18.769077730532576
1995-05-31,21.147432696953228
1995-06-30,21.417238692445192
1995-07-31,20.648895254353718
1995-08-31,21.54746634617234
1995-09-30,22.287442252943812
1995-10-31,23.00974111062463
1995-11-30,23.95965992280825
1995-12-31,24.85854649757894
1996-01-31,24.668792925980753
1996-02-29,22.79458138342936
1996-03-31,22.1380974395866
1996-04-30,21.384479705914007
1996-05-31,21.083849562048364
1996-06-30,21.58634797661052
1996-07-31,21.399626066612836
1996-08-31,20.94631065443509
1996-09-30,21.824833833799858
1996-10-31,23.011559173512723
1996-11-30,24.381897522295407
1996-12-31,23.238386528499746
1997-01-31,22.73972948424236
1997-02-28,22.868587951319736
1997-03-31,21.76327286700595
1997-04-30,22.479647265544894
1997-05-31,22.731231984525117
1997-06-30,23.353310033168288
1997-07-31,25.587443359674722
1997-08-31,24.293998097843158
1997-09-30,25.302401468887794
1997-10-31,26.621710852144716
1997-11-30,27.285256995134425
1997-12-31,27.962840877180263
1998-01-31,28.6546881652165
1998-02-28,28.2778790158439
1998-03-31,28.315582854531687
1998-04-30,28.404776940523462
1998-05-31,29.261417671754753
1998-06-30,30.40383218668951
1998-07-31,29.998954488070094
1998-08-31,32.40987046376133
1998-09-30,34.41982259702226
1998-10-31,33.50941828933102
1998-11-30,34.07544821326831
1998-12-31,34.15836513725393
1999-01-31,34.30325353604445
1999-02-28,31.48495539761226
1999-03-31,31.29106054728863
1999-04-30,31.156248228097397
1999-05-31,30.406421187407854
1999-06-30,29.78815728993056
1999-07-31,29.23955872650767
1999-08-31,29.59896163585432
1999-09-30,29.80196118107356
1999-10-31,29.41602578377865
1999-11-30,28.878693046128298
1999-12-31,28.042414226667493
2000-01-31,28.143366917883498
2000-02-29,30.017949682672185
2000-03-31,31.84679326708899
2000-04-30,31.256566031872275
2000-05-31,31.130758353593993
2000-06-30,31.959355371772148
2000-07-31,32.74928410537778
2000-08-31,33.61468393786239
2000-09-30,32.50287826661759
2000-10-31,33.188688998043226
2000-11-30,34.483877586191866
2000-12-31,35.5137960634328
2001-01-31,35.16398517220798
2001-02-28,36.592229036619166
2001-03-31,35.96467230864115
2001-04-30,34.05674644266774
2001-05-31,34.22078643803325
2001-06-30,34.57040880614183
2001-07-31,36.229500342096586
2001-08-31,37.17841133855666
2001-09-30,37.14464094825747
2001-10-31,40.85600965633753
2001-11-30,38.22794683519361
2001-12-31,36.95081484467451
2002-01-31,37.38560276601352
2002-02-28,36.88214331543121
2002-03-31,34.59606513226306
2002-04-30,35.949636180562855
2002-05-31,35.9268680776485
2002-06-30,36.422359466552734
2002-07-31,36.422359466552734
2002-08-31,38.430389404296875
2002-09-30,40.06718826293945
2002-10-31,38.58698272705078
2002-11-30,38.23349380493164
2002-12-31,39.96369934082031
2003-01-31,39.73358917236328
2003-02-28,40.964298248291016
2003-03-31,40.4052619934082
2003-04-30,40.82881164550781
2003-05-31,43.40904235839844
2003-06-30,42.624732971191406
2003-07-31,38.370445251464844
2003-08-31,38.87139129638672
2003-09-30,41.17816925048828
2003-10-31,39.92996597290039
2003-11-30,40.06551742553711
2003-12-31,40.60371017456055
2004-01-31,41.35927963256836
2004-02-29,42.30303192138672
2004-03-31,42.89997482299805
2004-04-30,40.225040435791016
2004-05-31,40.12118148803711
2004-06-30,40.54384994506836
2004-07-31,41.164817810058594
2004-08-31,42.87960433959961
2004-09-30,43.28669357299805
2004-10-31,44.050621032714844
2004-11-30,42.995269775390625
2004-12-31,44.13839340209961
2005-01-31,45.71356964111328
2005-02-28,45.04058837890625
2005-03-31,44.83580017089844
2005-04-30,46.56879425048828
2005-05-31,48.029884338378906
2005-06-30,49.06962585449219
2005-07-31,47.41073226928711
2005-08-31,49.05894470214844
2005-09-30,47.28647994995117
2005-10-31,46.22685241699219
2005-11-30,46.545936584472656
2005-12-31,47.933807373046875
2006-01-31,47.292274475097656
2006-02-28,47.81619644165039
2006-03-31,45.63103103637695
2006-04-30,44.37508773803711
2006-05-31,44.290374755859375
2006-06-30,44.812294006347656
2006-07-31,45.78169631958008
2006-08-31,47.18079376220703
2006-09-30,48.084354400634766
2006-10-31,48.49142837524414
2006-11-30,49.61071014404297
2006-12-31,48.27336883544922
2007-01-31,47.792964935302734
2007-02-28,49.41263198852539
2007-03-31,48.572486877441406
2007-04-30,49.012081146240234
2007-05-31,47.8780517578125
2007-06-30,47.39280700683594
2007-07-31,48.965789794921875
2007-08-31,49.84113311767578
2007-09-30,49.95487594604492
2007-10-31,50.86214828491211
2007-11-30,53.58391189575195
2007-12-31,53.24755859375
2008-01-31,54.36351013183594
2008-02-29,54.11603927612305
2008-03-31,55.273502349853516
2008-04-30,53.899227142333984
2008-05-31,52.4503059387207
2008-06-30,53.84207534790039
2008-07-31,53.64434051513672
2008-08-31,55.11377716064453
2008-09-30,55.927215576171875
2008-10-31,54.88662338256836
2008-11-30,62.75809097290039
2008-12-31,71.32601928710938
2009-01-31,62.00321578979492
2009-02-28,61.053321838378906
2009-03-31,63.52437973022461
2009-04-30,59.108097076416016
2009-05-31,56.924137115478516
