Portfolio,CAGR%,Vol%,Sharpe,Max DD%,Calmar,Ulcer%,Win%,$1_to,Best Yr,Worst Yr,Window,% Inv
SP500 B&H,11.93,13.98,0.588,-50.78,0.235,12.13,65.3,257.92,+38.0% (1995),-36.8% (2008),Common (1977–2026),100.0
IEF B&H,6.22,9.38,0.257,-28.71,0.216,7.01,57.4,19.48,+49.8% (1982),-15.2% (2022),Common (1977–2026),100.0
TLT B&H,5.77,18.39,0.175,-67.53,0.085,20.05,55.0,15.81,+93.5% (1982),-31.2% (2022),Common (1977–2026),100.0
50/50 SP+IEF B&H,9.41,8.58,0.619,-23.1,0.407,4.49,67.3,83.92,+33.9% (1982),-16.3% (2022),Common (1977–2026),100.0
50/50 SP+TLT B&H,9.49,11.86,0.482,-30.21,0.314,7.44,63.3,86.99,+52.8% (1982),-24.6% (2022),Common (1977–2026),100.0
SP500 Timing,11.58,10.31,0.724,-21.91,0.528,5.62,72.8,220.48,+38.0% (1995),-20.1% (2022),Common (1977–2026),76.6
IEF Timing,6.7,7.53,0.364,-13.08,0.512,3.98,66.3,24.39,+49.8% (1982),-8.6% (2009),Common (1977–2026),69.2
TLT Timing,8.05,13.28,0.345,-24.47,0.329,9.54,67.5,45.22,+90.6% (1982),-22.4% (2009),Common (1977–2026),58.7
50/50 SP+IEF Timing,9.32,6.57,0.778,-13.13,0.71,2.7,72.3,80.61,+37.3% (1982),-10.8% (2022),Common (1977–2026),72.9
50/50 SP+TLT Timing,10.16,8.66,0.698,-12.34,0.823,3.57,69.4,117.29,+55.7% (1982),-11.6% (2022),Common (1977–2026),67.7
SP500 B&H,10.8,13.86,0.45,-50.78,0.213,13.82,63.6,39.06,+38.0% (1995),-36.8% (2008),Faber (1977–2012),100.0
IEF B&H,8.17,10.25,0.33,-28.71,0.285,5.78,59.4,16.59,+49.8% (1982),-8.9% (1994),Faber (1977–2012),100.0
TLT B&H,7.93,20.0,0.231,-67.53,0.117,18.67,56.6,15.32,+93.5% (1982),-27.6% (1980),Faber (1977–2012),100.0
50/50 SP+IEF B&H,9.87,8.76,0.548,-23.1,0.427,4.41,66.7,28.95,+33.9% (1982),-12.7% (2008),Faber (1977–2012),100.0
50/50 SP+TLT B&H,10.12,12.45,0.435,-30.21,0.335,7.13,63.2,31.42,+52.8% (1982),-11.7% (1981),Faber (1977–2012),100.0
SP500 Timing,12.32,10.01,0.716,-16.67,0.739,4.28,73.7,63.72,+38.0% (1995),-4.4% (2002),Faber (1977–2012),73.4
IEF Timing,8.75,8.36,0.451,-13.08,0.669,3.58,71.1,20.04,+49.8% (1982),-8.6% (2009),Faber (1977–2012),72.3
TLT Timing,10.58,14.53,0.422,-24.09,0.439,8.22,72.3,36.41,+90.6% (1982),-22.4% (2009),Faber (1977–2012),61.8
50/50 SP+IEF Timing,10.73,6.79,0.805,-6.86,1.564,1.81,73.2,38.29,+37.3% (1982),+0.0% (1994),Faber (1977–2012),72.8
50/50 SP+TLT Timing,11.83,9.21,0.724,-12.06,0.982,3.02,70.4,54.52,+55.7% (1982),-2.7% (1990),Faber (1977–2012),67.6
SP500 B&H,10.68,15.58,0.645,-50.78,0.21,12.5,65.5,6.94,+32.3% (2013),-36.8% (2008),Modern (2007–2026),100.0
IEF B&H,3.3,6.7,0.32,-23.15,0.143,8.15,53.3,1.86,+17.9% (2008),-15.2% (2022),Modern (2007–2026),100.0
TLT B&H,3.12,14.12,0.193,-47.61,0.066,20.44,51.5,1.8,+34.0% (2011),-31.2% (2022),Modern (2007–2026),100.0
50/50 SP+IEF B&H,7.34,8.27,0.736,-23.1,0.318,5.42,66.4,3.86,+19.5% (2019),-16.3% (2022),Modern (2007–2026),100.0
50/50 SP+TLT B&H,7.47,10.08,0.633,-26.81,0.279,7.83,64.6,3.95,+23.2% (2019),-24.6% (2022),Modern (2007–2026),100.0
SP500 Timing,8.5,10.68,0.693,-21.91,0.388,7.55,68.1,4.75,+32.3% (2013),-20.1% (2022),Modern (2007–2026),75.5
IEF Timing,2.32,5.23,0.207,-11.77,0.197,4.59,53.3,1.55,+12.1% (2008),-8.6% (2009),Modern (2007–2026),63.3
TLT Timing,2.44,11.18,0.15,-24.47,0.1,12.78,52.8,1.58,+27.0% (2008),-22.4% (2009),Modern (2007–2026),52.4
50/50 SP+IEF Timing,5.58,5.51,0.767,-13.13,0.425,3.65,68.6,2.82,+13.5% (2013),-10.8% (2022),Modern (2007–2026),69.4
50/50 SP+TLT Timing,5.79,7.04,0.641,-12.34,0.469,4.29,65.9,2.93,+17.0% (2020),-11.6% (2022),Modern (2007–2026),64.0
