Window,Freq,Portfolio,Strategy,Start,End,Years,CAGR%,Vol%,Sharpe,MaxDD%,Calmar,%Invested
Full ETF (2007–2026),monthly,5-asset (original),B&H,2007-05-31,2025-12-31,18.6,4.73,12.84,0.324,-46.56,0.102,
Full ETF (2007–2026),monthly,5-asset (original),Timing,2007-05-31,2025-12-31,18.6,4.73,6.7,0.527,-10.6,0.447,65.9
Full ETF (2007–2026),monthly,6-asset (+Gold),B&H,2007-05-31,2025-12-31,18.6,5.86,11.63,0.437,-39.62,0.148,
Full ETF (2007–2026),monthly,6-asset (+Gold),Timing,2007-05-31,2025-12-31,18.6,5.36,6.29,0.656,-9.75,0.55,66.1
Full ETF (2007–2026),weekly,5-asset (original),B&H,2007-06-01,2026-01-02,18.6,4.99,14.03,0.323,-49.64,0.101,
Full ETF (2007–2026),weekly,5-asset (original),Timing,2007-06-01,2026-01-02,18.6,4.25,7.39,0.421,-13.33,0.319,66.1
Full ETF (2007–2026),weekly,6-asset (+Gold),B&H,2007-06-01,2026-01-02,18.6,6.12,12.62,0.429,-42.56,0.144,
Full ETF (2007–2026),weekly,6-asset (+Gold),Timing,2007-06-01,2026-01-02,18.6,5.07,7.0,0.553,-11.08,0.457,66.0
Full ETF (2007–2026),daily,5-asset (original),B&H,2007-05-30,2025-12-31,18.6,5.17,15.32,0.32,-48.62,0.106,
Full ETF (2007–2026),daily,5-asset (original),Timing,2007-05-30,2025-12-31,18.6,4.22,7.38,0.421,-13.44,0.314,66.1
Full ETF (2007–2026),daily,6-asset (+Gold),B&H,2007-05-30,2025-12-31,18.6,6.33,13.58,0.423,-41.65,0.152,
Full ETF (2007–2026),daily,6-asset (+Gold),Timing,2007-05-30,2025-12-31,18.6,4.97,7.04,0.54,-14.38,0.346,66.2
Out-of-sample (2006–2012),monthly,5-asset (original),B&H,2006-01-31,2012-12-31,6.9,4.02,15.48,0.235,-46.56,0.086,
Out-of-sample (2006–2012),monthly,5-asset (original),Timing,2006-01-31,2012-12-31,6.9,6.3,7.87,0.623,-10.6,0.595,66.2
Out-of-sample (2006–2012),monthly,6-asset (+Gold),B&H,2006-01-31,2012-12-31,6.9,6.66,14.16,0.418,-39.62,0.168,
Out-of-sample (2006–2012),monthly,6-asset (+Gold),Timing,2006-01-31,2012-12-31,6.9,7.83,7.61,0.83,-9.75,0.803,69.4
Out-of-sample (2006–2012),weekly,5-asset (original),B&H,2006-01-06,2013-01-04,7.0,4.32,17.04,0.296,-49.64,0.087,
Out-of-sample (2006–2012),weekly,5-asset (original),Timing,2006-01-06,2013-01-04,7.0,5.13,9.05,0.527,-13.33,0.385,65.8
Out-of-sample (2006–2012),weekly,6-asset (+Gold),B&H,2006-01-06,2013-01-04,7.0,6.95,15.32,0.471,-42.56,0.163,
Out-of-sample (2006–2012),weekly,6-asset (+Gold),Timing,2006-01-06,2013-01-04,7.0,6.82,8.85,0.715,-11.08,0.616,68.8
Out-of-sample (2006–2012),daily,5-asset (original),B&H,2006-01-03,2012-12-31,7.0,4.82,19.71,0.305,-48.62,0.099,
Out-of-sample (2006–2012),daily,5-asset (original),Timing,2006-01-03,2012-12-31,7.0,4.81,8.83,0.506,-13.44,0.358,65.5
Out-of-sample (2006–2012),daily,6-asset (+Gold),B&H,2006-01-03,2012-12-31,7.0,7.48,17.44,0.464,-41.65,0.18,
Out-of-sample (2006–2012),daily,6-asset (+Gold),Timing,2006-01-03,2012-12-31,7.0,6.35,8.88,0.667,-14.38,0.441,68.6
Full paper (1973–2012),monthly,5-asset (original),B&H,1973-01-31,2012-12-31,39.9,9.05,10.58,0.387,-46.56,0.194,
Full paper (1973–2012),monthly,5-asset (original),Timing,1973-01-31,2012-12-31,39.9,10.37,7.23,0.695,-10.6,0.978,37.2
Full paper (1973–2012),monthly,6-asset (+Gold),B&H,1973-01-31,2012-12-31,39.9,8.81,9.87,0.385,-39.62,0.222,
Full paper (1973–2012),monthly,6-asset (+Gold),Timing,1973-01-31,2012-12-31,39.9,10.74,7.25,0.741,-10.18,1.055,40.5
Full paper (1973–2012),weekly,5-asset (original),B&H,1993-02-05,2013-01-04,19.9,8.46,15.59,0.582,-49.64,0.17,
Full paper (1973–2012),weekly,5-asset (original),Timing,1993-02-05,2013-01-04,19.9,6.01,10.28,0.595,-38.55,0.156,37.4
Full paper (1973–2012),weekly,6-asset (+Gold),B&H,1993-02-05,2013-01-04,19.9,9.44,14.93,0.661,-42.56,0.222,
Full paper (1973–2012),weekly,6-asset (+Gold),Timing,1993-02-05,2013-01-04,19.9,6.71,10.19,0.665,-38.55,0.174,36.4
Full paper (1973–2012),daily,5-asset (original),B&H,1993-02-01,2012-12-31,19.9,8.83,17.39,0.56,-48.62,0.182,
Full paper (1973–2012),daily,5-asset (original),Timing,1993-02-01,2012-12-31,19.9,7.16,10.89,0.67,-23.56,0.304,37.2
Full paper (1973–2012),daily,6-asset (+Gold),B&H,1993-02-01,2012-12-31,19.9,9.85,16.5,0.637,-42.54,0.231,
Full paper (1973–2012),daily,6-asset (+Gold),Timing,1993-02-01,2012-12-31,19.9,7.83,10.88,0.727,-23.56,0.332,36.2
