Portfolio,CAGR%,Vol%,Sharpe,Max DD%,Calmar,Ulcer%,Win%,$1_to,Best Yr,Worst Yr,Window,% Inv
SP500 B&H,10.95,14.14,0.508,-50.78,0.216,12.49,64.1,257.6,+38.0% (1995),-36.8% (2008),Full (1973-2026),100.0
Gold B&H,7.71,18.48,0.262,-62.09,0.124,34.77,49.3,52.8,+118.9% (1979),-28.3% (2013),Full (1973-2026),100.0
50/50 B&H,10.01,11.8,0.509,-32.98,0.303,6.98,62.9,163.1,+62.4% (1979),-17.2% (2008),Full (1973-2026),100.0
SP500 Timing,11.54,10.17,0.713,-21.91,0.527,5.42,73.3,341.5,+38.0% (1995),-20.1% (2022),Full (1973-2026),74.6
Gold Timing,9.66,15.15,0.404,-38.88,0.248,14.73,66.0,137.5,+118.9% (1979),-13.2% (2021),Full (1973-2026),57.9
50/50 Timing,11.0,9.37,0.716,-16.15,0.681,3.55,69.7,263.6,+62.4% (1979),-12.5% (2022),Full (1973-2026),66.2
SP500 B&H,9.61,14.08,0.36,-50.78,0.189,14.07,62.2,39.0,+38.0% (1995),-36.8% (2008),Faber era (1973-2012),100.0
Gold B&H,8.2,19.28,0.234,-62.09,0.132,37.84,49.3,23.2,+118.9% (1979),-24.5% (1975),Faber era (1973-2012),100.0
50/50 B&H,9.62,12.05,0.397,-32.98,0.292,7.73,63.0,39.2,+62.4% (1979),-17.2% (2008),Faber era (1973-2012),100.0
SP500 Timing,12.19,9.84,0.702,-16.67,0.731,4.1,74.3,98.7,+38.0% (1995),-4.4% (2002),Faber era (1973-2012),71.0
Gold Timing,11.46,15.93,0.437,-23.92,0.479,7.54,72.9,76.0,+118.9% (1979),-10.3% (1990),Faber era (1973-2012),56.8
50/50 Timing,12.25,9.59,0.724,-16.15,0.759,3.01,71.0,100.9,+62.4% (1979),-6.4% (1990),Faber era (1973-2012),63.9
SP500 B&H,10.68,15.58,0.645,-50.78,0.21,12.5,65.5,6.9,+32.3% (2013),-36.8% (2008),Modern (2007-2026),100.0
Gold B&H,9.47,17.53,0.532,-42.91,0.221,20.11,52.8,5.6,+63.7% (2025),-28.3% (2013),Modern (2007-2026),100.0
50/50 B&H,10.76,12.2,0.796,-25.6,0.42,5.74,62.4,7.0,+39.6% (2025),-17.2% (2008),Modern (2007-2026),100.0
SP500 Timing,8.5,10.68,0.693,-21.91,0.388,7.55,68.1,4.7,+32.3% (2013),-20.1% (2022),Modern (2007-2026),75.5
Gold Timing,5.56,13.62,0.37,-38.88,0.143,22.6,49.8,2.8,+63.7% (2025),-13.2% (2021),Modern (2007-2026),63.8
50/50 Timing,7.4,8.86,0.705,-13.39,0.553,4.48,65.9,3.9,+36.4% (2025),-12.5% (2022),Modern (2007-2026),69.7
