Portfolio,CAGR%,Vol%,Sharpe,Max DD%,Calmar,Ulcer%,Win%,$1_to,Best Yr,Worst Yr,Window,% Inv
SP500 B&H,10.49,13.66,0.488,-50.78,0.207,12.0,64.1,614.26,+38.0% (1995),-36.8% (2008),Full (1962–2026),100.0
IEF B&H,5.69,8.81,0.189,-28.71,0.198,6.31,58.3,35.1,+49.8% (1982),-15.2% (2022),Full (1962–2026),100.0
50/50 B&H,8.41,8.3,0.501,-23.1,0.364,4.81,66.6,180.19,+33.9% (1982),-16.3% (2022),Full (1962–2026),100.0
SP500 Timing,inf,11704.33,2.868,0.0,,0.0,97.7,inf,+116208046394288194394783744.0% (2021),+1.6% (2008),Full (1962–2026),74.4
IEF Timing,3.34,6.33,-0.123,-25.69,0.13,7.25,69.7,8.26,+37.3% (1982),-22.9% (1980),Full (1962–2026),51.9
50/50 Timing,inf,5852.05,2.867,-3.68,inf,0.44,93.8,inf,+31926746698604208979968.0% (2021),+0.3% (2008),Full (1962–2026),63.1
SP500 B&H,9.33,13.48,0.362,-50.78,0.184,13.18,62.6,93.03,+38.0% (1995),-36.8% (2008),Faber era (1962–2012),100.0
IEF B&H,6.91,9.33,0.23,-28.71,0.241,5.12,60.0,29.88,+49.8% (1982),-8.9% (1994),Faber era (1962–2012),100.0
50/50 B&H,8.46,8.36,0.419,-23.1,0.366,4.83,65.9,62.16,+33.9% (1982),-12.7% (2008),Faber era (1962–2012),100.0
SP500 Timing,inf,7004.5,2.629,0.0,,0.0,98.0,inf,+91914201263318744694784.0% (2012),+1.6% (2008),Faber era (1962–2012),71.5
IEF Timing,3.94,6.76,-0.13,-25.69,0.153,6.43,73.0,7.11,+37.3% (1982),-22.9% (1980),Faber era (1962–2012),51.1
50/50 Timing,inf,3502.23,2.629,-3.68,inf,0.44,93.4,inf,+51639308518638780416.0% (2012),+0.3% (2008),Faber era (1962–2012),61.3
SP500 B&H,10.68,15.58,0.645,-50.78,0.21,12.5,65.5,6.94,+32.3% (2013),-36.8% (2008),Modern (2007–2026),100.0
IEF B&H,3.3,6.7,0.32,-23.15,0.143,8.15,53.3,1.86,+17.9% (2008),-15.2% (2022),Modern (2007–2026),100.0
50/50 B&H,7.34,8.27,0.736,-23.1,0.318,5.42,66.4,3.86,+19.5% (2019),-16.3% (2022),Modern (2007–2026),100.0
SP500 Timing,inf,13053.57,5.898,-0.28,inf,0.03,92.1,inf,+116208046394288194394783744.0% (2021),+1.6% (2008),Modern (2007–2026),75.5
IEF Timing,0.49,4.24,-0.181,-15.36,0.032,9.34,52.0,1.1,+9.9% (2025),-10.8% (2009),Modern (2007–2026),52.0
50/50 Timing,6.623605602768982e+16,6526.97,5.897,-4.91,1.3484916098137634e+16,0.65,90.0,6.853083718033286e+282,+31926746698604208979968.0% (2021),+0.3% (2008),Modern (2007–2026),63.8
