Portfolio,CAGR%,Vol%,Sharpe,Max DD%,Calmar,Ulcer%,Win%,$1→,Best Yr,Worst Yr,Window,% Inv
SP500 B&H,10.97,14.14,0.809,-50.78,0.216,12.49,64.1,257.62,+38.0% (1995),-36.8% (2008),Full (1973–2026),100.0
SP500 Timing,10.1,10.3,0.989,-22.96,0.44,6.17,50.7,169.51,+38.0% (1995),-21.0% (2022),Full (1973–2026),74.7
Gold B&H,8.14,17.2,0.537,-62.09,0.131,34.16,50.4,65.05,+118.9% (1979),-27.5% (2013),Full (1973–2026),100.0
Gold Timing,8.72,14.35,0.65,-33.2,0.263,15.19,32.9,86.43,+118.9% (1979),-13.0% (1990),Full (1973–2026),58.5
IEF B&H,6.19,9.2,0.699,-28.71,0.215,6.77,57.7,24.58,+49.8% (1982),-15.2% (2022),Full (1973–2026),100.0
IEF Timing,5.04,7.42,0.7,-20.05,0.252,6.13,42.0,13.8,+49.8% (1982),-11.5% (1979),Full (1973–2026),70.2
3-asset B&H (SP500/Gold/IEF),9.09,8.0,1.129,-22.24,0.409,4.17,66.1,103.74,+38.5% (1979),-10.7% (2022),Full (1973–2026),100.0
3-asset Timing (SP500/Gold/IEF),8.34,6.57,1.253,-10.88,0.767,2.37,65.5,71.65,+33.4% (1979),-7.6% (2022),Full (1973–2026),67.8
SP500 B&H,9.63,14.08,0.725,-50.78,0.19,14.07,62.2,39.01,+38.0% (1995),-36.8% (2008),Faber (1973–2012),100.0
SP500 Timing,10.36,10.01,1.037,-16.63,0.623,5.12,47.8,50.81,+38.0% (1995),-6.9% (1973),Faber (1973–2012),71.2
Gold B&H,8.51,18.59,0.528,-62.09,0.137,37.63,50.5,25.92,+118.9% (1979),-24.5% (1975),Faber (1973–2012),100.0
Gold Timing,9.02,15.63,0.626,-33.2,0.272,15.74,33.4,31.22,+118.9% (1979),-13.0% (1990),Faber (1973–2012),58.0
IEF B&H,7.93,9.95,0.817,-28.71,0.276,5.53,59.7,20.92,+49.8% (1982),-8.9% (1994),Faber (1973–2012),100.0
IEF Timing,6.47,8.17,0.807,-20.05,0.323,5.96,45.7,12.14,+49.8% (1982),-11.5% (1979),Faber (1973–2012),73.3
3-asset B&H (SP500/Gold/IEF),9.45,8.28,1.133,-22.24,0.425,4.44,66.6,36.51,+38.5% (1979),-8.8% (1981),Faber (1973–2012),100.0
3-asset Timing (SP500/Gold/IEF),9.06,6.96,1.282,-10.88,0.832,2.31,66.4,31.62,+33.4% (1979),-4.8% (1990),Faber (1973–2012),67.5
SP500 B&H,10.97,15.46,0.751,-50.78,0.216,12.37,65.8,7.54,+32.3% (2013),-36.8% (2008),Modern (2007–2026),100.0
SP500 Timing,8.2,10.78,0.784,-22.96,0.357,7.9,53.4,4.62,+32.3% (2013),-21.0% (2022),Modern (2007–2026),79.1
Gold B&H,10.31,13.06,0.815,-39.28,0.262,17.52,54.3,6.71,+62.7% (2025),-27.5% (2013),Modern (2007–2026),100.0
Gold Timing,10.41,11.05,0.95,-21.72,0.479,11.59,39.3,6.84,+62.7% (2025),-9.0% (2014),Modern (2007–2026),67.9
